Time, Pressure 1, Pressure 2, Pressure 3, Pressure 4
11.1558, -2.0649, -1.0325, -0.6883, -0.5162
11.2161, -2.2472, -1.1236, -0.7491, -0.5618
11.2764, -1.9004, -0.9502, -0.6335, -0.4751
11.3367, -2.2511, -1.1256, -0.7504, -0.5628
11.3970, -1.6689, -0.8344, -0.5563, -0.4172
11.4573, -1.7211, -0.8605, -0.5737, -0.4303
11.5176, -2.3093, -1.1546, -0.7698, -0.5773
11.5779, -1.8255, -0.9128, -0.6085, -0.4564
11.6382, -2.1881, -1.0940, -0.7294, -0.5470
11.6985, -2.0915, -1.0458, -0.6972, -0.5229
11.7588, -1.7900, -0.8950, -0.5967, -0.4475
11.8191, -2.3496, -1.1748, -0.7832, -0.5874
11.8794, -2.0078, -1.0039, -0.6693, -0.5019
11.9397, -2.0373, -1.0187, -0.6791, -0.5093
12.0000, -2.0452, -1.0226, -0.6817, -0.5113
